run_id,Coal_Retrofitted_Min_Power_660-1000,Coal_Retrofitted_Time_660-1000,Coal_Retrofitted_Min_Power_300-660,Coal_Retrofitted_Time_300-660,Coal_Retrofitted_Min_Power_0-300,Coal_Retrofitted_Time_0-300,CHP_NonRetrofitted_Min_Power_660-1000,CHP_NonRetrofitted_Time_660-1000,CHP_NonRetrofitted_Min_Power_300-660,CHP_NonRetrofitted_Time_300-660,CHP_NonRetrofitted_Min_Power_0-300,CHP_NonRetrofitted_Time_0-300,MLT_Band,Description,Classification
40,0.604,12.856,0.672,12.915,0.364,4.955,0.432,10.022,0.608,5.553,0.486,7.66,0.233,"High_MP, High_Time, Loose_MLT",Partially More Flexible
41,0.564,8.964,0.335,13.903,0.316,7.87,0.515,10.965,0.537,13.803,0.672,5.275,0.066,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
42,0.688,13.155,0.619,15.384,0.326,5.059,0.653,7.489,0.599,14.965,0.688,9.86,0.241,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
43,0.461,11.507,0.401,6.383,0.465,8.189,0.529,11.303,0.452,6.486,0.557,4.398,0.203,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
44,0.367,13.303,0.741,15.825,0.655,7.018,0.562,8.418,0.423,5.391,0.51,10.735,0.245,"High_MP, High_Time, Loose_MLT",Partially More Flexible
45,0.503,8.453,0.531,6.754,0.491,10.592,0.508,9.014,0.35,5.574,0.551,9.495,0.27,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
46,0.625,7.73,0.723,7.407,0.567,9.706,0.482,14.326,0.495,8.28,0.541,10.639,0.103,"High_MP, Low_Time, Tight_MLT",Partially More Flexible
47,0.454,11.869,0.544,15.909,0.73,11.674,0.448,5.778,0.663,6.226,0.665,7.818,0.313,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
48,0.724,10.378,0.451,11.8,0.683,7.98,0.425,5.344,0.364,12.255,0.528,5.925,0.063,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
49,0.346,11.304,0.31,14.666,0.622,5.277,0.379,15.178,0.502,14.407,0.603,5.311,0.182,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
50,0.491,6.705,0.319,15.125,0.513,4.989,0.319,14.755,0.481,8.476,0.366,11.118,0.369,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
51,0.675,5.655,0.598,12.847,0.532,9.931,0.307,4.925,0.542,7.831,0.596,6.538,0.35,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
52,0.471,5.744,0.565,4.751,0.588,8.058,0.657,7.179,0.57,13.105,0.499,10.922,0.366,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
53,0.646,7.889,0.746,12.296,0.579,6.598,0.685,13.749,0.615,10.088,0.584,8.202,0.332,"High_MP, High_Time, Loose_MLT",Partially More Flexible
54,0.521,8.402,0.426,5.393,0.682,9.833,0.365,14.806,0.581,14.482,0.654,5.474,0.25,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
55,0.329,5.104,0.428,15.496,0.648,4.521,0.601,8.006,0.679,6.384,0.581,9.621,0.311,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
56,0.42,10.315,0.55,8.238,0.477,11.191,0.733,12.049,0.718,7.93,0.677,9.772,0.166,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
57,0.7,7.2,0.614,15.224,0.408,4.874,0.358,11.382,0.401,10.391,0.658,9.269,0.122,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
58,0.62,7.51,0.592,4.263,0.596,4.577,0.57,11.095,0.632,10.185,0.698,10.839,0.207,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
59,0.515,7.686,0.624,6.254,0.614,8.123,0.573,12.81,0.384,14.316,0.524,8.9,0.382,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
60,0.406,14.829,0.456,8.694,0.39,5.575,0.693,5.05,0.475,14.147,0.428,9.125,0.347,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
61,0.436,6.823,0.479,11.563,0.328,9.19,0.485,10.468,0.75,11.16,0.57,5.597,0.05,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
62,0.302,8.192,0.707,9.585,0.558,10.981,0.724,4.6,0.412,7.502,0.397,8.337,0.208,"High_MP, High_Time, Loose_MLT",Partially More Flexible
63,0.422,10.928,0.568,11.207,0.674,9.33,0.602,7.671,0.415,15.909,0.311,6.764,0.392,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
64,0.451,7.103,0.705,8.35,0.522,8.346,0.395,8.772,0.573,5.887,0.33,8.739,0.073,"High_MP, High_Time, Tight_MLT",Fully Less Flexible
65,0.443,5.844,0.511,10.587,0.333,7.219,0.443,4.764,0.52,9.711,0.405,5.1,0.283,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
66,0.383,15.569,0.367,10.275,0.475,9.842,0.376,5.17,0.578,12.641,0.335,8.032,0.218,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
67,0.494,13.955,0.559,11.968,0.369,5.173,0.353,4.119,0.723,13.174,0.358,5.744,0.091,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
68,0.399,9.156,0.624,13.188,0.556,8.823,0.552,5.531,0.647,11.212,0.716,6.313,0.14,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
69,0.687,5.534,0.507,13.585,0.702,7.112,0.583,8.812,0.595,8.64,0.628,8.656,0.286,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
70,0.743,15.446,0.448,6.489,0.306,6.004,0.436,8.603,0.514,7.718,0.534,11.515,0.326,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
71,0.589,11.943,0.377,9.826,0.61,4.397,0.391,6.883,0.591,12.056,0.348,5.655,0.178,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
72,0.502,12.467,0.308,9.675,0.712,10.25,0.426,13.442,0.362,5.687,0.424,10.072,0.375,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
73,0.399,5.251,0.493,4.059,0.46,5.965,0.462,14.926,0.691,10.822,0.577,8.573,0.387,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
74,0.31,12.691,0.686,13.022,0.363,7.304,0.416,9.583,0.323,6.695,0.394,11.166,0.265,"High_MP, High_Time, Loose_MLT",Partially More Flexible
75,0.597,10.21,0.633,10.895,0.672,6.36,0.713,5.961,0.506,4.611,0.494,10.361,0.356,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
76,0.355,8.045,0.44,11.526,0.423,11.093,0.342,12.169,0.696,9.783,0.734,6.13,0.301,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
77,0.34,7.329,0.396,13.468,0.72,9.443,0.336,13.973,0.508,15.139,0.435,8.464,0.134,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
78,0.431,4.165,0.464,5.776,0.581,10.217,0.349,8.305,0.616,14.569,0.646,6.399,0.147,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
79,0.682,10.577,0.572,13.309,0.451,10.784,0.707,13.925,0.303,10.664,0.692,6.86,0.173,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
80,0.74,10.013,0.595,10.779,0.544,5.786,0.331,9.384,0.354,11.077,0.474,10.083,0.319,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
81,0.511,6.014,0.637,11.143,0.572,9.015,0.403,7.023,0.467,7.053,0.632,4.837,0.279,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
82,0.663,5.336,0.487,14.979,0.52,4.035,0.697,11.832,0.335,11.921,0.432,4.526,0.108,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
83,0.472,4.459,0.576,7.274,0.419,11.77,0.334,6.824,0.654,9.29,0.681,9.704,0.143,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
84,0.476,14.686,0.7,14.441,0.509,10.474,0.671,6.154,0.329,15.618,0.303,5.176,0.237,"High_MP, High_Time, Loose_MLT",Partially More Flexible
85,0.463,12.528,0.582,4.892,0.498,8.77,0.557,15.386,0.341,5.002,0.65,11.378,0.115,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
86,0.377,4.11,0.515,5.23,0.505,7.508,0.473,12.364,0.307,4.871,0.476,7.195,0.097,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
87,0.525,8.265,0.315,12.268,0.625,6.193,0.575,13.266,0.706,13.593,0.463,4.464,0.193,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
88,0.668,15.689,0.459,4.368,0.7,11.905,0.586,10.142,0.604,14.019,0.351,9.548,0.094,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
89,0.538,13.665,0.481,15.688,0.664,10.845,0.622,12.69,0.432,13.366,0.321,9.007,0.384,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
90,0.566,6.435,0.73,12.542,0.379,6.083,0.681,14.185,0.62,8.164,0.661,11.951,0.157,"High_MP, High_Time, Loose_MLT",Partially More Flexible
91,0.714,15.786,0.538,8.804,0.31,5.416,0.637,4.494,0.676,8.425,0.343,7.74,0.329,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
92,0.518,15.05,0.418,7.221,0.604,5.321,0.489,15.63,0.347,10.85,0.492,11.259,0.171,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
93,0.344,8.809,0.385,7.935,0.385,7.143,0.47,11.932,0.701,5.928,0.461,7.36,0.364,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
94,0.651,13.388,0.408,6.076,0.629,11.363,0.324,10.256,0.391,7.197,0.471,11.782,0.057,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
95,0.487,6.881,0.5,7.777,0.372,8.297,0.66,9.411,0.564,11.761,0.443,4.247,0.119,"Low_MP, Low_Time, Tight_MLT",Partially More Flexible
96,0.336,14.453,0.653,8.119,0.319,6.317,0.498,6.22,0.637,15.219,0.639,10.427,0.132,"High_MP, High_Time, Tight_MLT",Fully Less Flexible
97,0.732,4.332,0.602,11.065,0.302,4.796,0.404,8.539,0.397,11.374,0.544,8.245,0.124,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
98,0.618,6.151,0.522,14.803,0.444,4.098,0.596,7.905,0.698,15.446,0.588,8.825,0.196,"Low_MP, High_Time, Loose_MLT",Partially More Flexible
99,0.585,14.624,0.325,10.676,0.667,9.418,0.537,12.502,0.658,9.965,0.418,7.852,0.129,"Low_MP, High_Time, Tight_MLT",Partially More Flexible
100,0.63,9.172,0.343,7.053,0.6,9.228,0.408,10.823,0.669,4.04,0.746,10.269,0.183,"Low_MP, Low_Time, Loose_MLT",Fully More Flexible
